UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,voltage,current,temperature,voltage_roll_mean,voltage_roll_std,current_roll_mean,current_roll_std,temperature_roll_mean,temperature_roll_std,voltage_lag_1,voltage_lag_3,voltage_lag_5,current_lag_1,current_lag_3,current_lag_5,temperature_lag_1,temperature_lag_3,temperature_lag_5
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,255.68145013312048,5.044637615957397,309.4546687167137,251.37356318285498,2.2015401006809063,5.077511169862282,0.16478523363396153,308.66772407575627,0.3829728484284099,251.97276083018534,251.5457862052649,249.78739093410127,4.945191357620773,4.932225617913036,5.183757006593495,308.73273995890645,308.76194130024,308.72514636215396
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,257.3096168628064,5.185288367676272,308.17066841848276,251.65787945223875,2.7584901378003117,5.079306269327109,0.16596603159374207,308.6981022666875,0.31911492134589886,255.68145013312048,249.28338614909867,251.3523594277134,5.044637615957397,4.878229712568477,5.134360058726545,309.4546687167137,308.7450297275434,308.6314475395661
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,248.23074352978762,5.300011906712661,308.33009825593024,251.45424718273594,2.941648229378042,5.065859741139101,0.13689372117142126,308.6767589389304,0.33722535511776075,257.3096168628064,251.97276083018534,251.5457862052649,5.185288367676272,4.945191357620773,4.932225617913036,308.17066841848276,308.73273995890645,308.76194130024
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,245.58296472008266,5.135601962908016,309.4419851343989,250.9621495082973,3.4805319570247746,5.069621341418095,0.13838328626207413,308.76826498900107,0.40863943634377264,248.23074352978762,255.68145013312048,249.28338614909867,5.300011906712661,5.044637615957397,4.878229712568477,308.33009825593024,309.4546687167137,308.7450297275434
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,257.54732152130373,5.502129539160249,309.0046727312358,251.82937803134647,3.9512940226549422,5.1241433145836925,0.18767063373796403,308.79983981451716,0.4139913724210691,245.58296472008266,257.3096168628064,251.97276083018534,5.135601962908016,5.185288367676272,4.945191357620773,309.4419851343989,308.17066841848276,308.73273995890645
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,259.3256516374112,5.145742608399855,308.66379796028997,252.78320410167748,4.514680806096864,5.120341874764328,0.18671149124899034,308.7937049743307,0.4156723629102125,257.54732152130373,248.23074352978762,255.68145013312048,5.502129539160249,5.300011906712661,5.044637615957397,309.0046727312358,308.33009825593024,309.4546687167137
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,252.86349271136362,5.444238877277551,309.24304318548144,252.93431743004248,4.486669916147824,5.151329756619429,0.21314077226528852,308.85486453892224,0.4337464760074214,259.3256516374112,245.58296472008266,257.3096168628064,5.145742608399855,5.135601962908016,5.185288367676272,308.66379796028997,309.4419851343989,308.17066841848276
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,246.63560799729888,5.282030202030695,309.0658464513839,252.44329960924588,4.904721070115856,5.186310215031194,0.20157726870911846,308.88525505403663,0.4371456474867266,252.86349271136362,257.54732152130373,248.23074352978762,5.444238877277551,5.502129539160249,5.300011906712661,309.24304318548144,309.0046727312358,308.33009825593024
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,251.41137939162124,5.177686021300728,309.4369224028958,252.6560989334981,4.797378563301775,5.21625584590442,0.17058524424199825,308.95444432157194,0.4662699537864089,246.63560799729888,259.3256516374112,245.58296472008266,5.282030202030695,5.145742608399855,5.135601962908016,309.0658464513839,308.66379796028997,309.4419851343989
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,245.74302139954153,5.186542686481996,309.5553888367114,252.03312499043378,5.276533946597177,5.240390978790542,0.142780250197443,309.03670920935235,0.4945228223552544,251.41137939162124,252.86349271136362,257.54732152130373,5.177686021300728,5.444238877277551,5.502129539160249,309.4369224028958,309.24304318548144,309.0046727312358
